date,sunrise,sunset
1-Jan-19,8:08 am,4:51 pm
1-Feb-19,7:49 am,5:31 pm
1-Mar-19,7:05 am,6:12 pm
1-Apr-19,7:07 am,7:54 pm
1-May-19,6:14 am,8:34 pm
1-Jun-19,5:39 am,9:09 pm
1-Jul-19,5:39 am,9:20 pm
1-Aug-19,6:08 am,8:56 pm
1-Sep-19,6:47 am,8:05 pm
1-Oct-19,7:24 am,7:07 pm
1-Nov-19,8:06 am,6:13 pm
1-Dec-19,7:47 am,4:43 pm
